id,name,email,datetime,clinicName
0,Mina Cummings,mina_cummings@gmail.com,2019-11-26T01:19:51.813Z,EXPLANADA
1,Rosetta Graham,rosetta_graham@gmail.com,2019-11-27T07:44:43.411Z,SANTA_FE
2,Katherine Fowler,katherine_fowler@gmail.com,2019-11-17T23:42:28.688Z,ANGELOPOLIS
3,Blake Schwartz,katherine_fowler@gmail.com,2019-11-17T06:22:11.116Z,SOLESTA
4,Louisa Miller,louisa_miller@gmail.com,2019-11-01T16:58:02.210Z,SOLESTA
5,Nina Santos,nina_santos@gmail.com,2019-11-01T16:04:58.801Z,SOLESTA
6,Marie Sanders,marie_sanders@gmail.com,2019-11-22T01:22:18.010Z,SANTA_FE
7,Delia Andrews,delia_andrews@gmail.com,2019-11-01T18:08:51.142Z,SANTA_FE
8,Robert Stone,robert_stone@gmail.com,2019-11-08T12:06:21.720Z,SOLESTA
9,Flora Porter,flora_porter@gmail.com,2019-11-26T00:48:04.945Z,SOLESTA
10,Jennie Dixon,jennie_dixon@gmail.com,2019-11-24T19:30:48.071Z,ANGELOPOLIS
11,Martin Stevens,martin_stevens@gmail.com,2019-11-14T13:37:39.470Z,SANTA_FE
12,Christine Bradley,delia_andrews@gmail.com,2019-11-12T01:31:11.812Z,EXPLANADA
13,Elijah Jordan,elijah_jordan@gmail.com,2019-11-12T00:13:36.651Z,SANTA_FE
14,Carlos Moody,carlos_moody@gmail.com,2019-11-28T13:58:15.985Z,ANGELOPOLIS
15,May Collins,may_collins@gmail.com,2019-11-16T14:03:39.351Z,SANTA_FE
16,Juan Daniels,juan_daniels@gmail.com,2019-11-13T17:05:36.198Z,SOLESTA
17,Miguel Roberts,martin_stevens@gmail.com,2019-11-13T09:09:35.044Z,ANGELOPOLIS
18,Ruby Fowler,ruby_fowler@gmail.com,2019-11-25T09:39:45.548Z,EXPLANADA
19,Billy Cruz,martin_stevens@gmail.com,2019-11-17T04:12:08.558Z,SOLESTA
20,Alfred Hampton,alfred_hampton@gmail.com,2019-11-25T15:05:00.429Z,SOLESTA
21,Marvin Craig,marvin_craig@gmail.com,2019-11-06T03:50:04.423Z,EXPLANADA
22,Lina Logan,lina_logan@gmail.com,2019-11-15T18:12:47.761Z,SOLESTA
23,Eddie Graves,eddie_graves@gmail.com,2019-11-27T19:52:54.018Z,ANGELOPOLIS
24,Teresa Luna,teresa_luna@gmail.com,2019-11-22T14:45:15.394Z,ANGELOPOLIS
25,Gregory Colon,gregory_colon@gmail.com,2019-11-15T16:17:19.337Z,EXPLANADA
26,Benjamin Martin,benjamin_martin@gmail.com,2019-11-01T21:54:34.675Z,EXPLANADA
27,Emilie Atkins,emilie_atkins@gmail.com,2019-11-21T21:32:21.580Z,ANGELOPOLIS
28,Clyde Martin,clyde_martin@gmail.com,2019-12-01T05:59:30.540Z,SANTA_FE
29,Cameron Moran,juan_daniels@gmail.com,2019-11-30T11:38:08.470Z,ANGELOPOLIS
30,Lina Chambers,lina_chambers@gmail.com,2019-11-12T18:38:55.423Z,SOLESTA
31,Seth Todd,seth_todd@gmail.com,2019-11-22T14:55:54.065Z,SOLESTA
32,Elva Rodriquez,elva_rodriquez@gmail.com,2019-11-25T19:43:21.944Z,ANGELOPOLIS
33,Rena McGee,robert_stone@gmail.com,2019-11-30T22:29:04.379Z,ANGELOPOLIS
34,Aaron Craig,aaron_craig@gmail.com,2019-11-03T03:31:01.058Z,SANTA_FE
35,Ann Moreno,marie_sanders@gmail.com,2019-11-30T20:48:56.737Z,EXPLANADA
36,Ophelia Jimenez,ophelia_jimenez@gmail.com,2019-11-18T19:43:01.742Z,SOLESTA
37,Florence Patrick,florence_patrick@gmail.com,2019-11-09T17:22:13.216Z,SANTA_FE
38,Louisa Frazier,louisa_frazier@gmail.com,2019-11-22T19:06:42.781Z,ANGELOPOLIS
39,Darrell Alvarado,nina_santos@gmail.com,2019-11-28T11:03:57.766Z,ANGELOPOLIS
40,Mable Bryant,mable_bryant@gmail.com,2019-11-29T02:37:44.142Z,ANGELOPOLIS
41,Madge Sutton,madge_sutton@gmail.com,2019-11-11T01:06:52.888Z,SOLESTA
42,Jim Nguyen,jim_nguyen@gmail.com,2019-11-07T06:50:35.746Z,SOLESTA
43,Mittie Nash,mittie_nash@gmail.com,2019-11-11T20:35:17.760Z,EXPLANADA
44,Ethel Strickland,ethel_strickland@gmail.com,2019-11-26T18:48:39.882Z,ANGELOPOLIS
45,Minerva Foster,minerva_foster@gmail.com,2019-11-23T02:01:22.766Z,EXPLANADA
46,Ryan Wise,ryan_wise@gmail.com,2019-11-23T14:21:46.916Z,EXPLANADA
47,Alice Simmons,juan_daniels@gmail.com,2019-11-17T04:37:30.539Z,SANTA_FE
48,Olga Ball,olga_ball@gmail.com,2019-11-05T00:13:35.171Z,SOLESTA
49,Adam Carter,adam_carter@gmail.com,2019-11-29T12:18:27.880Z,ANGELOPOLIS
